edge_type,clinical_group,relationship,source_feature,target_feature,mean_attention,sd_attention,max_attention,n_observations,n_patients
physiological,additional_code_edge,CRL_to_GS,CRL,GS,0.21665075093424752,0.03991080249716274,0.3555068075656891,359,122
physiological,additional_code_edge,FHR_to_YSD,FHR,YSD,0.1951619750692984,0.03399735576951156,0.32257166504859924,359,122
temporal,temporal_same_variable,CRL_temporal_backward,CRL,CRL,0.168023293091275,0.036632516536586286,0.28938958048820496,237,122
physiological,additional_code_edge,GS_to_YSD,GS,YSD,0.16794942923326014,0.06347756604406776,0.4915001690387726,359,122
temporal,temporal_same_variable,GS_temporal_backward,GS,GS,0.16601696676468547,0.07062577493220411,0.4197973608970642,237,122
maternal_to_us,primary_research_rationale,previous_loss_to_YSD,previous_loss,YSD,0.16258295519604324,0.038933612719363755,0.3371181786060333,359,122
physiological,additional_code_edge,CRL_to_FHR,CRL,FHR,0.16024305688056442,0.04186557580118047,0.3165523111820221,359,122
maternal_to_us,additional_code_edge,age_to_YSD,age,YSD,0.15993531690625096,0.05140133747756756,0.33178412914276123,359,122
temporal,temporal_same_variable,YSD_temporal_backward,YSD,YSD,0.15501107558419433,0.05180678196434835,0.2759031057357788,237,122
temporal,temporal_same_variable,FHR_temporal_forward,FHR,FHR,0.1416303873816623,0.03682382390047445,0.2548381984233856,237,122
physiological,primary_research_rationale,FHR_to_CRL,FHR,CRL,0.13821641251984412,0.04050159434852742,0.28984490036964417,359,122
temporal,temporal_same_variable,CRL_temporal_forward,CRL,CRL,0.13801392567057147,0.02772014362994883,0.21414034068584442,237,122
temporal,temporal_same_variable,FHR_temporal_backward,FHR,FHR,0.13725345320842436,0.02307450295674564,0.21279840171337128,237,122
temporal,temporal_same_variable,YSD_temporal_forward,YSD,YSD,0.13671025508063755,0.03705460881571061,0.2502062916755676,237,122
maternal_to_us,primary_research_rationale,previous_loss_to_GS,previous_loss,GS,0.1362284574149213,0.03735132940681638,0.3048241138458252,359,122
maternal_to_us,additional_code_edge,age_to_GS,age,GS,0.13319854040871423,0.05455898674678986,0.312722772359848,359,122
maternal_to_us,additional_code_edge,parity_to_FHR,parity,FHR,0.12497426948216964,0.0447615759677251,0.39326930046081543,359,122
maternal_to_us,additional_code_edge,parity_to_CRL,parity,CRL,0.12408325792106081,0.042547043345828144,0.388081818819046,359,122
maternal_to_us,primary_research_rationale,bmi_to_YSD,bmi,YSD,0.12178548886168301,0.03410369626655865,0.25970184803009033,359,122
physiological,primary_research_rationale,YSD_to_GS,YSD,GS,0.12011721232143285,0.048370766807837216,0.2512459456920624,359,122
maternal_to_us,primary_research_rationale,previous_loss_to_FHR,previous_loss,FHR,0.11897509501505031,0.03807686598497365,0.290017306804657,359,122
temporal,temporal_same_variable,GS_temporal_forward,GS,GS,0.1177736209226057,0.02163617335751081,0.19702231884002686,237,122
maternal_to_us,additional_code_edge,conception_ivf_to_GS,conception_ivf,GS,0.1110353960258715,0.021136241047509233,0.2225145548582077,359,122
maternal_to_us,primary_research_rationale,age_to_FHR,age,FHR,0.10886063690305088,0.052769209755674854,0.2693680226802826,359,122
maternal_to_us,primary_research_rationale,previous_loss_to_CRL,previous_loss,CRL,0.10871358518812982,0.03373808291590166,0.261654257774353,359,122
maternal_to_us,primary_research_rationale,age_to_CRL,age,CRL,0.1080832379691116,0.049398959567257414,0.2646495997905731,359,122
physiological,additional_code_edge,GS_to_CRL,GS,CRL,0.10588628216581757,0.049868320849378645,0.35438457131385803,359,122
maternal_to_us,primary_research_rationale,bmi_to_GS,bmi,GS,0.09542042565399723,0.03806064661207368,0.2521304786205292,359,122
physiological,additional_code_edge,YSD_to_FHR,YSD,FHR,0.09191250757503643,0.04934818221952263,0.235662579536438,359,122
maternal_to_us,additional_code_edge,conception_ivf_to_FHR,conception_ivf,FHR,0.08016292862905433,0.018887629194866445,0.16787253320217133,359,122
maternal_to_us,additional_code_edge,conception_ivf_to_CRL,conception_ivf,CRL,0.07807547716335665,0.018054978620024493,0.20493659377098083,359,122
maternal_to_us,primary_research_rationale,bmi_to_CRL,bmi,CRL,0.07307484952478688,0.035245282441290195,0.2105613797903061,359,122
maternal_to_us,primary_research_rationale,bmi_to_FHR,bmi,FHR,0.06910877818537456,0.03787696148040055,0.22211600840091705,359,122
maternal_to_us,additional_code_edge,gravidity_to_CRL,gravidity,CRL,0.061831186346522946,0.04168351187234942,0.30137407779693604,359,122
maternal_to_us,additional_code_edge,gravidity_to_FHR,gravidity,FHR,0.06165278174273649,0.046674904409765836,0.30940666794776917,359,122
