node_family,node_feature,mean_importance,sd_importance,n
temporal,YSD,0.176100491443623,0.1851060730860571,359
temporal,FHR,0.09269381084441776,0.08750333411148696,359
temporal,GS,0.04048282113853676,0.05762476163576061,359
maternal,age,0.018525719569163917,0.02120100124112043,122
maternal,gravidity,0.017381558958135666,0.01919729008006456,122
maternal,singleton,0.015259532360016505,0.01733254777649394,122
maternal,previous_loss,0.009556403212806546,0.010850005596211071,122
maternal,parity,0.007827520969736039,0.00845687575547274,122
temporal,CRL,0.0052264697359201,0.004674482206766539,359
maternal,bmi,0.004865369453194139,0.005451907964195687,122
maternal,conception_ivf,0.001118402198848284,0.0012672006033484058,122
