Characteristic,Overall,Ongoing,Loss
"Patients, n",800,612,188
"Loss rate, %",23.5,0.0,100.0
Scans per patient,3.01 +/- 0.82,3.04 +/- 0.84,2.93 +/- 0.75
"First GA, weeks",6.50 +/- 0.67,6.47 +/- 0.67,6.58 +/- 0.69
"Latest GA, weeks",10.52 +/- 1.82,10.52 +/- 1.83,10.51 +/- 1.77
"Maternal age, years",30.22 +/- 4.80,29.10 +/- 4.18,33.86 +/- 4.90
BMI,25.17 +/- 4.35,24.67 +/- 4.03,26.83 +/- 4.91
Parity,0.55 +/- 0.71,0.54 +/- 0.69,0.57 +/- 0.76
Gravidity,1.40 +/- 0.79,1.33 +/- 0.75,1.61 +/- 0.88
"Previous loss, %",19.2,12.3,42.0
"IVF conception, %",12.4,9.8,20.7
"Singleton, %",100.0,100.0,100.0
