model,bin,bin_lower,bin_upper,n,mean_probability,observed_rate,abs_calibration_error
PREG-Net,0,0.0,0.1,81,0.004653575479837642,0.0,0.004653575479837642
PREG-Net,1,0.1,0.2,5,0.13689684122800824,0.2,0.06310315877199177
PREG-Net,2,0.2,0.30000000000000004,1,0.2183756232261657,0.0,0.2183756232261657
PREG-Net,3,0.30000000000000004,0.4,0,nan,nan,nan
PREG-Net,4,0.4,0.5,2,0.446534052491188,0.0,0.446534052491188
PREG-Net,5,0.5,0.6000000000000001,0,nan,nan,nan
PREG-Net,6,0.6000000000000001,0.7000000000000001,0,nan,nan,nan
PREG-Net,7,0.7000000000000001,0.8,0,nan,nan,nan
PREG-Net,8,0.8,0.9,1,0.8344094157218933,1.0,0.1655905842781067
PREG-Net,9,0.9,1.0,32,0.9883055724203587,0.84375,0.14455557242035866
FETA-Transformer,0,0.0,0.1,90,0.002846154204194591,0.022222222222222223,0.01937606801802763
FETA-Transformer,1,0.1,0.2,0,nan,nan,nan
FETA-Transformer,2,0.2,0.30000000000000004,1,0.2332855314016342,1.0,0.7667144685983658
FETA-Transformer,3,0.30000000000000004,0.4,0,nan,nan,nan
FETA-Transformer,4,0.4,0.5,0,nan,nan,nan
FETA-Transformer,5,0.5,0.6000000000000001,2,0.5408133864402771,0.5,0.0408133864402771
FETA-Transformer,6,0.6000000000000001,0.7000000000000001,0,nan,nan,nan
FETA-Transformer,7,0.7000000000000001,0.8,1,0.7507905960083008,0.0,0.7507905960083008
FETA-Transformer,8,0.8,0.9,4,0.8351426273584366,0.25,0.5851426273584366
FETA-Transformer,9,0.9,1.0,24,0.9973450874288877,1.0,0.002654912571112278
Ensemble,0,0.0,0.1,86,0.01644612397175538,0.011627906976744186,0.004818216995011195
Ensemble,1,0.1,0.2,1,0.1460837721824646,0.0,0.1460837721824646
Ensemble,2,0.2,0.30000000000000004,0,nan,nan,nan
Ensemble,3,0.30000000000000004,0.4,1,0.344000369310379,0.0,0.344000369310379
Ensemble,4,0.4,0.5,0,nan,nan,nan
Ensemble,5,0.5,0.6000000000000001,0,nan,nan,nan
Ensemble,6,0.6000000000000001,0.7000000000000001,2,0.6356472969055176,0.0,0.6356472969055176
Ensemble,7,0.7000000000000001,0.8,0,nan,nan,nan
Ensemble,8,0.8,0.9,4,0.868219405412674,0.5,0.36821940541267395
Ensemble,9,0.9,1.0,28,0.9794778185231345,0.9285714285714286,0.05090638995170593
Learned Ensemble,0,0.0,0.1,83,0.01516647960609157,0.0,0.01516647960609157
Learned Ensemble,1,0.1,0.2,2,0.14331370592117304,0.0,0.14331370592117304
Learned Ensemble,2,0.2,0.30000000000000004,1,0.2623746991157532,0.0,0.2623746991157532
Learned Ensemble,3,0.30000000000000004,0.4,1,0.3195168673992157,0.0,0.3195168673992157
Learned Ensemble,4,0.4,0.5,1,0.472246766090393,1.0,0.5277532339096069
Learned Ensemble,5,0.5,0.6000000000000001,0,nan,nan,nan
Learned Ensemble,6,0.6000000000000001,0.7000000000000001,0,nan,nan,nan
Learned Ensemble,7,0.7000000000000001,0.8,1,0.7980533242225647,0.0,0.7980533242225647
Learned Ensemble,8,0.8,0.9,1,0.8827279806137085,0.0,0.8827279806137085
Learned Ensemble,9,0.9,1.0,32,0.9851486831903458,0.875,0.11014868319034576
Torch Logistic Regression,0,0.0,0.1,5,0.0703843846917152,0.0,0.0703843846917152
Torch Logistic Regression,1,0.1,0.2,26,0.15463036986497725,0.0,0.15463036986497725
Torch Logistic Regression,2,0.2,0.30000000000000004,20,0.25425282418727874,0.0,0.25425282418727874
Torch Logistic Regression,3,0.30000000000000004,0.4,15,0.3309904416402181,0.0,0.3309904416402181
Torch Logistic Regression,4,0.4,0.5,17,0.4439874852404875,0.058823529411764705,0.38516395582872276
Torch Logistic Regression,5,0.5,0.6000000000000001,9,0.5504426625039842,0.1111111111111111,0.4393315513928731
Torch Logistic Regression,6,0.6000000000000001,0.7000000000000001,7,0.6482942530087062,0.7142857142857143,0.06599146127700806
Torch Logistic Regression,7,0.7000000000000001,0.8,7,0.7598648837634495,0.8571428571428571,0.09727797337940758
Torch Logistic Regression,8,0.8,0.9,6,0.837559312582016,1.0,0.162440687417984
Torch Logistic Regression,9,0.9,1.0,10,0.9367490649223328,1.0,0.06325093507766721
MLP,0,0.0,0.1,89,0.002893382352209944,0.0,0.002893382352209944
MLP,1,0.1,0.2,0,nan,nan,nan
MLP,2,0.2,0.30000000000000004,0,nan,nan,nan
MLP,3,0.30000000000000004,0.4,1,0.3277666568756103,0.0,0.3277666568756103
MLP,4,0.4,0.5,1,0.4437541961669922,0.0,0.4437541961669922
MLP,5,0.5,0.6000000000000001,0,nan,nan,nan
MLP,6,0.6000000000000001,0.7000000000000001,0,nan,nan,nan
MLP,7,0.7000000000000001,0.8,0,nan,nan,nan
MLP,8,0.8,0.9,2,0.8581545352935791,0.5,0.3581545352935791
MLP,9,0.9,1.0,29,0.9894506869644955,0.9655172413793104,0.023933445585185065
Sklearn Logistic Regression,0,0.0,0.1,86,0.012917379742385599,0.0,0.012917379742385599
Sklearn Logistic Regression,1,0.1,0.2,1,0.1277379840612411,0.0,0.1277379840612411
Sklearn Logistic Regression,2,0.2,0.30000000000000004,1,0.2442813515663147,0.0,0.2442813515663147
Sklearn Logistic Regression,3,0.30000000000000004,0.4,1,0.336065262556076,0.0,0.336065262556076
Sklearn Logistic Regression,4,0.4,0.5,2,0.438612550497055,0.5,0.061387449502945
Sklearn Logistic Regression,5,0.5,0.6000000000000001,1,0.5579118132591248,0.0,0.5579118132591248
Sklearn Logistic Regression,6,0.6000000000000001,0.7000000000000001,0,nan,nan,nan
Sklearn Logistic Regression,7,0.7000000000000001,0.8,2,0.7067202031612396,0.5,0.20672020316123962
Sklearn Logistic Regression,8,0.8,0.9,3,0.8391125996907552,1.0,0.16088740030924475
Sklearn Logistic Regression,9,0.9,1.0,25,0.9836482262611389,0.96,0.023648226261138938
Random Forest,0,0.0,0.1,71,0.027840375586854434,0.0,0.027840375586854434
Random Forest,1,0.1,0.2,7,0.1257142857142857,0.0,0.1257142857142857
Random Forest,2,0.2,0.30000000000000004,7,0.24047619047619043,0.0,0.24047619047619043
Random Forest,3,0.30000000000000004,0.4,3,0.3466666666666666,0.3333333333333333,0.013333333333333308
Random Forest,4,0.4,0.5,3,0.44111111111111106,0.3333333333333333,0.10777777777777775
Random Forest,5,0.5,0.6000000000000001,5,0.5833333333333333,0.6,0.01666666666666672
Random Forest,6,0.6000000000000001,0.7000000000000001,5,0.6553333333333333,0.8,0.14466666666666672
Random Forest,7,0.7000000000000001,0.8,5,0.7426666666666668,0.8,0.057333333333333236
Random Forest,8,0.8,0.9,6,0.86,1.0,0.14
Random Forest,9,0.9,1.0,10,0.9533333333333331,1.0,0.046666666666666856
HistGradientBoosting,0,0.0,0.1,90,0.0021835059386411055,0.011111111111111112,0.008927605172470005
HistGradientBoosting,1,0.1,0.2,1,0.1509026712212705,1.0,0.8490973287787296
HistGradientBoosting,2,0.2,0.30000000000000004,0,nan,nan,nan
HistGradientBoosting,3,0.30000000000000004,0.4,0,nan,nan,nan
HistGradientBoosting,4,0.4,0.5,1,0.4736722139338959,0.0,0.4736722139338959
HistGradientBoosting,5,0.5,0.6000000000000001,0,nan,nan,nan
HistGradientBoosting,6,0.6000000000000001,0.7000000000000001,1,0.6786911639769608,1.0,0.32130883602303917
HistGradientBoosting,7,0.7000000000000001,0.8,1,0.7342576607917491,0.0,0.7342576607917491
HistGradientBoosting,8,0.8,0.9,2,0.8580762057534408,0.5,0.3580762057534408
HistGradientBoosting,9,0.9,1.0,26,0.993851419844597,0.9615384615384616,0.03231295830613545
XGBoost,0,0.0,0.1,87,0.004838943282401827,0.0,0.004838943282401827
XGBoost,1,0.1,0.2,1,0.1082179397344589,0.0,0.1082179397344589
XGBoost,2,0.2,0.30000000000000004,0,nan,nan,nan
XGBoost,3,0.30000000000000004,0.4,0,nan,nan,nan
XGBoost,4,0.4,0.5,1,0.4199784994125366,1.0,0.5800215005874634
XGBoost,5,0.5,0.6000000000000001,2,0.5663101971149445,0.5,0.06631019711494446
XGBoost,6,0.6000000000000001,0.7000000000000001,3,0.6550110777219137,0.6666666666666666,0.011655588944752937
XGBoost,7,0.7000000000000001,0.8,3,0.7367030183474222,0.6666666666666666,0.07003635168075562
XGBoost,8,0.8,0.9,1,0.8911478519439697,0.0,0.8911478519439697
XGBoost,9,0.9,1.0,24,0.9835852757096291,0.9583333333333334,0.02525194237629569
