model,brier_score,expected_calibration_error,max_calibration_error,mean_probability,observed_prevalence,n_bins
MLP,0.01624861838591122,0.019995171106121416,0.4437541961669922,0.25770008913890835,0.23770491803278687,10
Sklearn Logistic Regression,0.02092261418214257,0.03268011665633193,0.5579118132591248,0.2604598363295512,0.23770491803278687,10
XGBoost,0.03251643147445534,0.02445998517190461,0.8911478519439697,0.2520831283289256,0.23770491803278687,10
HistGradientBoosting,0.034654954406856835,0.03883696584029605,0.8490973287787296,0.24418302108088513,0.23770491803278687,10
Random Forest,0.0399851548269581,0.05986338797814207,0.24047619047619043,0.25822404371584695,0.23770491803278687,10
Ensemble,0.042617467521471435,0.04159017981289593,0.6356472969055176,0.27929509784568285,0.23770491803278687,10
FETA-Transformer,0.04541248199526434,0.04710874073975532,0.7667144685983658,0.24261237201963162,0.23770491803278687,10
Learned Ensemble,0.04662038709263053,0.06443138677458901,0.8827279806137085,0.29348461244820206,0.23770491803278687,10
PREG-Net,0.05015729532015396,0.05405957407922077,0.446534052491188,0.28387750230646563,0.23770491803278687,10
Torch Logistic Regression,0.09991542727263815,0.22683635555574147,0.4393315513928731,0.4194586585413237,0.23770491803278687,10
