model,metric,estimate,ci_lower,ci_upper,n_bootstrap
PREG-Net,auroc,0.985539488320356,0.9662913016126949,0.997272812393599,2000
PREG-Net,auprc,0.9567551384778858,0.8909288575670362,0.9914027256753756,2000
PREG-Net,accuracy,0.9508196721311475,0.9098360655737705,0.9836065573770492,2000
PREG-Net,sensitivity,0.9655172413793104,0.88,1.0,2000
PREG-Net,specificity,0.946236559139785,0.8942279411764706,0.9886363636363636,2000
PREG-Net,f1,0.9032258064516129,0.8107533064979873,0.9697192513368983,2000
PREG-Net,precision,0.8484848484848485,0.7142857142857143,0.9629629629629629,2000
FETA-Transformer,auroc,0.9896180941787172,0.9731868427525983,0.9992753623188406,2000
FETA-Transformer,auprc,0.9727902126609023,0.9295410304160301,0.9978136200716846,2000
FETA-Transformer,accuracy,0.9344262295081968,0.8852459016393442,0.9754098360655737,2000
FETA-Transformer,sensitivity,0.896551724137931,0.7741935483870968,1.0,2000
FETA-Transformer,specificity,0.946236559139785,0.896097132034632,0.989010989010989,2000
FETA-Transformer,f1,0.8666666666666667,0.7555555555555556,0.9491525423728815,2000
FETA-Transformer,precision,0.8387096774193549,0.6944444444444444,0.9655172413793104,2000
Ensemble,auroc,0.9933259176863181,0.9809502551020408,1.0,2000
Ensemble,auprc,0.9805506529059317,0.9408369811677809,1.0,2000
Ensemble,accuracy,0.9426229508196722,0.8934426229508197,0.9836065573770492,2000
Ensemble,sensitivity,0.9655172413793104,0.88,1.0,2000
Ensemble,specificity,0.9354838709677419,0.878769401330377,0.9789473684210527,2000
Ensemble,f1,0.8888888888888888,0.7936507936507936,0.9620487576183778,2000
Ensemble,precision,0.8235294117647058,0.6875,0.9411764705882353,2000
Learned Ensemble,auroc,0.9933259176863182,0.9823713235294117,0.9996535092077371,2000
Learned Ensemble,auprc,0.9807312357646061,0.9468783100410887,0.999058923606621,2000
Learned Ensemble,accuracy,0.9426229508196722,0.9016393442622951,0.9836065573770492,2000
Learned Ensemble,sensitivity,0.9655172413793104,0.88,1.0,2000
Learned Ensemble,specificity,0.9354838709677419,0.8829787234042553,0.979381443298969,2000
Learned Ensemble,f1,0.8888888888888888,0.7931034482758621,0.9629629629629629,2000
Learned Ensemble,precision,0.8235294117647058,0.6875,0.9444444444444444,2000
Torch Logistic Regression,auroc,0.9888765294771968,0.9732620320855615,0.999151425189959,2000
Torch Logistic Regression,auprc,0.9660531639611926,0.9116541461873209,0.9977443609022556,2000
Torch Logistic Regression,accuracy,0.9016393442622951,0.8442622950819673,0.9508196721311475,2000
Torch Logistic Regression,sensitivity,0.9655172413793104,0.8845588235294117,1.0,2000
Torch Logistic Regression,specificity,0.8817204301075269,0.8118811881188119,0.9431818181818182,2000
Torch Logistic Regression,f1,0.8235294117647058,0.711864406779661,0.9111181434599156,2000
Torch Logistic Regression,precision,0.717948717948718,0.5713474025974026,0.8529411764705882,2000
MLP,auroc,0.9985168705969596,0.9941520467836257,1.0,2000
MLP,auprc,0.9951528477687811,0.9792528617627433,1.0,2000
MLP,accuracy,0.9836065573770492,0.9590163934426229,1.0,2000
MLP,sensitivity,1.0,1.0,1.0,2000
MLP,specificity,0.978494623655914,0.9468085106382979,1.0,2000
MLP,f1,0.9666666666666667,0.9122807017543859,1.0,2000
MLP,precision,0.9354838709677419,0.8387096774193549,1.0,2000
Sklearn Logistic Regression,auroc,0.996292176492399,0.9881411161302466,1.0,2000
Sklearn Logistic Regression,auprc,0.9878173726018553,0.9592324701655953,1.0,2000
Sklearn Logistic Regression,accuracy,0.9672131147540983,0.9344262295081968,0.9918032786885246,2000
Sklearn Logistic Regression,sensitivity,0.9655172413793104,0.88,1.0,2000
Sklearn Logistic Regression,specificity,0.967741935483871,0.9278350515463918,1.0,2000
Sklearn Logistic Regression,f1,0.9333333333333333,0.8571428571428571,0.9855174525413348,2000
Sklearn Logistic Regression,precision,0.9032258064516129,0.7930675287356322,1.0,2000
Random Forest,auroc,0.9909158324063775,0.9773916018350215,0.9991758442373778,2000
Random Forest,auprc,0.9704962872271459,0.9238741966625676,0.9974469026116193,2000
Random Forest,accuracy,0.9508196721311475,0.9098360655737705,0.9836065573770492,2000
Random Forest,sensitivity,0.9310344827586207,0.8260869565217391,1.0,2000
Random Forest,specificity,0.956989247311828,0.9120879120879121,0.9896907216494846,2000
Random Forest,f1,0.9,0.8076923076923076,0.96875,2000
Random Forest,precision,0.8709677419354839,0.7390732265446224,0.9696969696969697,2000
HistGradientBoosting,auroc,0.9933259176863182,0.9814432989690721,1.0,2000
HistGradientBoosting,auprc,0.978389596410586,0.9392688010792719,1.0,2000
HistGradientBoosting,accuracy,0.9590163934426229,0.9180327868852459,0.9918032786885246,2000
HistGradientBoosting,sensitivity,0.9310344827586207,0.8181818181818182,1.0,2000
HistGradientBoosting,specificity,0.967741935483871,0.9276951556224899,1.0,2000
HistGradientBoosting,f1,0.9152542372881356,0.8275862068965518,0.9818181818181818,2000
HistGradientBoosting,precision,0.9,0.7837837837837838,1.0,2000
XGBoost,auroc,0.9911012235817576,0.9768234053565923,0.9991992568226121,2000
XGBoost,auprc,0.9728733735456891,0.9279536062626291,0.9973062359721716,2000
XGBoost,accuracy,0.9508196721311475,0.9098360655737705,0.9836065573770492,2000
XGBoost,sensitivity,0.9655172413793104,0.8822941176470588,1.0,2000
XGBoost,specificity,0.946236559139785,0.8958333333333334,0.989247311827957,2000
XGBoost,f1,0.9032258064516129,0.8135593220338984,0.9714285714285714,2000
XGBoost,precision,0.8484848484848485,0.7142857142857143,0.967741935483871,2000
